[
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=02, houseCode=10, ageCode=2, incomeCode=0, debtCode=0, averageLoanRate=4.85, averageLoanRate2=4.85, bankName=우리은행, loanCount=1, loanAmount=5500000, maxLoanRate=4.85, minLoanRate=4.85),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=0, debtCode=0, averageLoanRate=1.8, averageLoanRate2=1.8, bankName=농협은행, loanCount=1, loanAmount=33000000, maxLoanRate=1.8, minLoanRate=1.8),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=0, debtCode=0, averageLoanRate=3.75, averageLoanRate2=3.81, bankName=카카오뱅크, loanCount=9, loanAmount=571300000, maxLoanRate=3.97, minLoanRate=3.55),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=0, debtCode=0, averageLoanRate=5.2, averageLoanRate2=5.2, bankName=대구은행, loanCount=1, loanAmount=30000000, maxLoanRate=5.2, minLoanRate=5.2),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=0, debtCode=1, averageLoanRate=3.9, averageLoanRate2=3.91, bankName=카카오뱅크, loanCount=5, loanAmount=268900000, maxLoanRate=4.0, minLoanRate=3.68),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=1, debtCode=0, averageLoanRate=3.55, averageLoanRate2=3.55, bankName=카카오뱅크, loanCount=1, loanAmount=6500000, maxLoanRate=3.55, minLoanRate=3.55),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=03, houseCode=10, ageCode=2, incomeCode=1, debtCode=1, averageLoanRate=3.73, averageLoanRate2=3.73, bankName=카카오뱅크, loanCount=1, loanAmount=18000000, maxLoanRate=3.73, minLoanRate=3.73),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=01, houseCode=10, ageCode=2, incomeCode=2, debtCode=1, averageLoanRate=3.84, averageLoanRate2=3.84, bankName=카카오뱅크, loanCount=1, loanAmount=18000000, maxLoanRate=3.84, minLoanRate=3.84),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=02, houseCode=10, ageCode=2, incomeCode=2, debtCode=0, averageLoanRate=3.97, averageLoanRate2=3.97, bankName=카카오뱅크, loanCount=1, loanAmount=67500000, maxLoanRate=3.97, minLoanRate=3.97),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=02, houseCode=10, ageCode=2, incomeCode=2, debtCode=1, averageLoanRate=4.48, averageLoanRate2=4.48, bankName=신한은행, loanCount=1, loanAmount=100000000, maxLoanRate=4.48, minLoanRate=4.48),
MultiDimensionalRate(id=null, loadYearMonth=202309, creditGrade=1, jobCode=01, houseCode=10, ageCode=2, incomeCode=3, debtCode=0, averageLoanRate=3.77, averageLoanRate2=3.9, bankName=카카오뱅크, loanCount=2, loanAmount=110000000, maxLoanRate=3.97, minLoanRate=3.57),
